username,location,joined,nrContributions,nrReviews,nrUpvotes,nrFollowers,followers,nrFollowing,following
elenamL3817RH,,Joined in Mar 2015,38,32,18,0,[],0,[]
Matt-UK-1987,"Sheffield, United Kingdom",Joined in Sep 2009,5,4,0,0,[],0,[]
rh20132016,"Copenhagen, Denmark",Joined in Apr 2016,2,2,0,0,[],0,[]
Lola186525,"Edinburgh, United Kingdom",Joined in Apr 2009,143,131,101,0,[],0,[]
CutTheRope,"Oslo, Norway",Joined in Oct 2015,5,5,0,0,[],0,[]
170runeb,,Joined in Oct 2013,5,4,5,0,[],0,[]
ElsaAnnika,"Gothenburg, Sweden",Joined in Sep 2013,146,124,26,0,[],0,[]
672johnnym,"Vejle, Denmark",Joined in Jul 2015,2,2,0,0,[],0,[]
FlightDeck-Norway,"Oslo, Norway",Joined in Nov 2008,129,36,13,4,"['hillbornorganiccoffe', 'toursbymario', 'Aderlin90', 'JimMcDonald58']",0,[]
Glenclose,"Augustenborg, Denmark",Joined in Feb 2009,31,24,13,0,[],0,[]
sennockred,"Sevenoaks, United Kingdom",Joined in Jul 2009,655,346,145,0,[],0,[]
atluxity,"Edinburgh, United Kingdom",Joined in Nov 2012,8,8,11,0,[],0,[]
CeskeK,CeskeK,Joined in Jun 2008,2,2,0,0,[],0,[]
d_ral2014,"Budapest, Hungary",Joined in Mar 2014,2,2,4,0,[],0,[]
Maypai,"Oslo, Norway",Joined in Sep 2007,1,1,1,0,[],0,[]
Stuart0742,Sheffield,Joined in Jul 2009,162,134,33,0,[],0,[]
FarzadB_13,"Copenhagen, Denmark",Joined in Apr 2013,1,1,1,0,[],0,[]
m1ndy9876,"Abingdon, United Kingdom",Joined in Jan 2008,22,22,7,0,[],0,[]
LiudmilaS,"Copenhagen, Staden Kobenhavn, Denmark",Joined in Oct 2011,2,2,9,1,['htennekn'],0,[]
aholvoet,Leuven,Joined in Sep 2009,2,2,3,0,[],0,[]
SUNDAY-CPH,"Copenhagen, Denmark",Joined in Jul 2020,4,4,0,0,[],0,[]
kristianklemme,,Joined in Dec 2007,1,1,0,0,[],0,[]
2300Linda,"Copenhagen, Denmark",Joined in Jul 2017,166,62,4,1,['Clifftraveller47'],0,[]
randis503,"Munka Ljungby, Sweden",Joined in Oct 2016,7,6,0,0,[],0,[]
ThomasRivad,"Copenhagen, Denmark",Joined in Nov 2016,21,10,24,1,['WillyPedersen'],0,[]
JoseB1674,,Joined in Mar 2012,2,2,1,0,[],0,[]
thomaspH2077PN,,Joined in Nov 2020,2,2,0,0,[],0,[]
studyabroadCPH,"København, Danmark",Joined in Dec 2010,5,4,3,0,[],0,[]
horyang02,"Valby, Denmark",Joined in Oct 2020,1,1,0,0,[],0,[]
250coco,"'s Gravendeel, The Netherlands",Joined in Jun 2020,1,1,2,0,[],0,[]
Tatsie99,"Antwerp, Belgium",Joined in Jun 2016,13,13,2,0,[],0,[]
Travelintwo2020,,Joined in Feb 2020,1,1,0,0,[],0,[]
emiliasJ2016AQ,,Joined in Feb 2020,1,1,1,0,[],0,[]
A4125DBpeterj,,Joined in Jan 2020,1,1,0,0,[],0,[]
stephentedder,"Little Clacton, United Kingdom",Joined in Jan 2019,2,2,2,0,[],0,[]
D1878XAdane,,Joined in Jan 2020,1,1,0,0,[],0,[]
alvarogalo23,"Dubai, United Arab Emirates",Joined in Sep 2014,7,4,0,0,[],0,[]
mmtjans,,Joined in Jul 2016,1,1,0,0,[],0,[]
hanar838,,Joined in Dec 2019,2,1,0,0,[],0,[]
madsjaco,"Bronshoej, Denmark",Joined in Jan 2015,9,9,6,0,[],0,[]
looperter,,Joined in Dec 2019,1,1,2,0,[],0,[]
kgazos,"Thessaloniki, Greece",Joined in Nov 2019,4,1,1,0,[],0,[]
bigzices,"Copenhagen, Denmark",Joined in Dec 2019,1,1,0,0,[],0,[]
egillthorsteinsson,Iceland,Joined in Apr 2015,3,2,0,0,[],0,[]
bugzyh2019,,Joined in Dec 2019,1,1,0,0,[],0,[]
GeorgeGreen29,,Joined in Dec 2019,1,1,2,0,[],0,[]
OzzPCro,"Bjelovar, Croatia",Joined in Nov 2012,292,99,31,3,"['Inferno90', 'pontyphi', 'ToffeeBlue1878']",3,"['Inferno90', 'pontyphi', 'ToffeeBlue1878']"
markell0,"Skaneateles Falls, New York",Joined in Oct 2015,4,4,1,0,[],0,[]
MichiMichelle123,New Zealand,Joined in Aug 2019,1,1,4,0,[],0,[]
kantometalk,,Joined in Dec 2015,1,1,4,0,[],0,[]
szobell,"Bountiful, Utah",Joined in Feb 2010,385,210,127,0,[],0,[]
Ninathemain,,Joined in Aug 2019,1,1,1,0,[],0,[]
WineLass,"Pacheco, California",Joined in Apr 2007,5,5,8,0,[],0,[]
967radimf,"Copenhagen, Denmark",Joined in Aug 2016,3,3,1,0,[],0,[]
Miraxw,"Baar, Switzerland",Joined in Oct 2016,14,12,5,0,[],0,[]
DdsOoo,,Joined in Jul 2019,2,2,2,0,[],0,[]
Bellawinst,,Joined in Jul 2019,2,2,4,0,[],0,[]
ninaselroos,"Stockholm, Sweden",Joined in Jun 2019,2,1,0,0,[],0,[]
Alexandra0712a,"Stockholm, Sweden",Joined in Jun 2019,2,1,0,0,[],0,[]
Liv-ssss02,,Joined in Jun 2019,1,1,0,0,[],0,[]
Graham1704,"Prescot, United Kingdom",Joined in Apr 2019,15,15,4,0,[],0,[]
slane62,"Gormanlough, Ireland",Joined in Apr 2008,59,49,51,0,[],0,[]
JacobL418,"Nuuk, Greenland",Joined in Nov 2012,7,3,0,0,[],0,[]
sheilamcgu,"Epsom, United Kingdom",Joined in Jun 2016,7,7,5,0,[],0,[]
BalakinCy,Cyprus,Joined in Feb 2014,36,36,55,0,[],0,[]
_B8351IC,"Crete, Greece",Joined in Feb 2014,11,9,1,0,[],0,[]
XmanOne,"Hurghada, Egypt",Joined in May 2013,97,76,31,5,"['CrazyDolphin', 'L6986GY_', 'MYFlower_s22', '347mariyak', 'Shedows']",5,"['CrazyDolphin', 'L6986GY_', 'MYFlower_s22', '347mariyak', 'Shedows']"
Kraaij,"Amsterdam, The Netherlands",Joined in Apr 2016,44,44,18,0,[],0,[]
MichaelB19365,,Joined in Mar 2018,17,13,5,0,[],0,[]
dortedenmark,"Copenhagen, Denmark",Joined in Oct 2015,1,1,0,0,[],0,[]
MalinL807,,Joined in May 2013,2,2,0,0,[],0,[]
Kandal15698,"Surrey, Canada",Joined in Feb 2009,20,3,1,0,[],0,[]
A-JMJames,"Ammanford, United Kingdom",Joined in May 2009,16,14,38,0,[],0,[]
EdiBoyanov,"Copenhagen Region, Denmark",Joined in Sep 2018,1,1,0,0,[],0,[]
juniper7,wisconsin,Joined in Jan 2008,61,60,19,0,[],0,[]
RobertArounTheWorld,"Groningen, The Netherlands",Joined in Aug 2007,41,25,15,0,[],0,[]
markrH4955XK,"Mesa, Arizona",Joined in Jun 2017,20,5,2,0,[],0,[]
Sandgropers11,"Perth, Australia",Joined in Oct 2011,61,45,10,0,[],0,[]
SurreyFussy,"Reigate, United Kingdom",Joined in Sep 2010,21,21,13,0,[],0,[]
catherinelV2498ET,"Reykjavik, Iceland",Joined in Sep 2016,2,2,3,0,[],0,[]
juliiaf,"Doha, Qatar",Joined in Feb 2014,434,108,30,0,[],0,[]
Mantonites,Michigan,Joined in May 2004,39,39,11,0,[],0,[]
rebeccalA6053YF,"Rotherham, United Kingdom",Joined in Dec 2016,11,8,6,0,[],0,[]
702lesleyf,"London, United Kingdom",Joined in Oct 2008,70,59,57,0,[],0,[]
ChicagoNorway2008,chicago,Joined in Apr 2008,29,18,11,0,[],0,[]
AnnaG10912,"Helsingborg, Sweden",Joined in Dec 2017,5,5,1,0,[],0,[]
aimagar,"Passau, Germany",Joined in Jun 2015,27,27,11,0,[],0,[]
Heads123,"Bedworth, United Kingdom",Joined in Aug 2015,98,88,47,0,[],0,[]
2plus8,"Donegal Town, Ireland",Joined in Nov 2009,229,137,87,0,[],0,[]
Fokkerredbaron,"Marnhull, United Kingdom",Joined in Dec 2015,38,29,9,0,[],0,[]
Philip1007,"Asker, Norway",Joined in Oct 2013,73,52,15,0,[],0,[]
rebeccaodh,"Lund, Sweden",Joined in Nov 2017,2,1,1,0,[],0,[]
maxwelldrive,"Wantagh, New York",Joined in Mar 2004,134,128,71,0,[],1,['NatGeo']
NaomiSlabber,"Cape Town, South Africa",Joined in Sep 2012,18,13,22,0,[],0,[]
554megt,"Pelham, New York",Joined in Jan 2015,25,21,9,0,[],0,[]
opsguy1701,"Glasgow, United Kingdom",Joined in Dec 2011,10,10,13,0,[],0,[]
memayhew,"Aylesbury, United Kingdom",Joined in Jan 2013,1,1,1,0,[],0,[]
petermF1168ZQ,"Sydney, Australia",Joined in Feb 2014,4,4,1,0,[],0,[]
kostasn860,"Athens, Greece",Joined in Oct 2016,11,8,2,0,[],0,[]
rakelmaria93,"Reykjavik, Iceland",Joined in Jul 2013,10,9,2,0,[],0,[]
MikePeo_in_JHB,"Johannesburg, South Africa",Joined in Jan 2014,39,19,3,0,[],0,[]
conrad57,"Ieper (Ypres), Belgium",Joined in Sep 2011,987,377,122,1,['YorkshireTrench'],0,[]
Priti14,"Stockholm, Sweden",Joined in Nov 2015,58,38,24,0,[],6,"['Tripadvisor', 'TimeOut', 'TravelBabbo', 'Oyster', 'thatbackpacker', 'luxurytravel']"
thefitnesswanderer,"Milton Keynes, United Kingdom",Joined in Oct 2016,124,60,18,0,[],0,[]
gormpedersen,"Frederiksberg, Denmark",Joined in Oct 2018,1,1,0,0,[],0,[]
Nataliajofre,"Orlando, Florida",Joined in Sep 2015,19,17,8,0,[],0,[]
crgee,"Turku, Finland",Joined in Oct 2007,28,27,18,1,['hannujohansson'],0,[]
933DanielJ,"Copenhagen, Denmark",Joined in May 2013,23,15,8,0,[],0,[]
christinasY6908OC,,Joined in Feb 2020,1,1,0,0,[],0,[]
pederson11111,"Shrewsbury, United Kingdom",Joined in May 2016,2,2,5,0,[],0,[]
Voyage779962,,Joined in Jun 2018,1,1,0,0,[],0,[]
Vinnie911,"Copenhagen, Denmark",Joined in Jan 2019,1,1,0,0,[],0,[]
Living_in_cph,,Joined in Dec 2012,2,2,0,0,[],0,[]
Charlottepo123,,Joined in Jan 2020,1,1,0,0,[],0,[]
Soelvraeven,"Copenhagen, Denmark",Joined in Feb 2013,178,139,34,1,['mortens483'],0,[]
219veronikak,"Paris, France",Joined in Apr 2019,4,2,0,0,[],0,[]
995henrikh,"Copenhagen, Denmark",Joined in Sep 2009,63,29,4,0,[],0,[]
Wayne_Banks,"Bolton, United Kingdom",Joined in Mar 2012,35,30,14,0,[],0,[]
721piaw,"Gothenburg, Sweden",Joined in Mar 2016,15,13,3,0,[],0,[]
Lex2582,"County Dublin, Ireland",Joined in Jul 2018,20,11,16,0,[],0,[]
Ronaldo2100,,Joined in Nov 2019,1,1,0,0,[],0,[]
heikeh284,,Joined in Mar 2018,16,16,22,0,[],0,[]
txtxtl,,Joined in Jul 2016,3,3,1,0,[],0,[]
_str_sh2016,"Gdansk, Poland",Joined in Feb 2016,3,3,1,0,[],0,[]
rome572,"Aarhus, Denmark",Joined in Feb 2009,16,15,11,1,['DoBj'],0,[]
shimmyz2016,,Joined in Jul 2016,2,2,0,0,[],0,[]
Walentino931611,,Joined in Nov 2012,1,1,0,0,[],0,[]
Sigrunherd,,Joined in Jan 2019,2,1,0,0,[],0,[]
fghj2018,"Copenhagen, Denmark",Joined in Aug 2018,1,1,0,0,[],0,[]
97theodork,"Copenhagen, Denmark",Joined in Jul 2017,4,4,7,0,[],0,[]
TasminKGG,"Penicuik, United Kingdom",Joined in Feb 2013,9,6,3,0,[],0,[]
Saevarsdottir,,Joined in Nov 2019,1,1,0,0,[],0,[]
XBenedetti,,Joined in Jul 2019,6,2,0,0,[],0,[]
joepE4131MT,,Joined in Oct 2019,2,2,1,0,[],0,[]
Pinobruno,"Fiumicino, Italy",Joined in Jun 2012,39,37,28,0,[],0,[]
K5053NHalicew,,Joined in Nov 2019,5,5,5,0,[],0,[]
548olea,,Joined in Nov 2019,4,4,4,0,[],0,[]
2serak,"Copenhagen, Denmark",Joined in Sep 2012,1,1,0,0,[],0,[]
davidanth0nyc,,Joined in May 2014,53,46,32,0,[],0,[]
Peter1183500,"Amsterdam, The Netherlands",Joined in Jan 2013,8,6,4,0,[],0,[]
126markkul,"Helsinki, Finland",Joined in Jan 2013,3,2,1,0,[],0,[]
VinDalat,Dublin,Joined in Oct 2008,6,6,10,0,[],0,[]
MiaS2020b,,Joined in Jul 2020,1,1,0,0,[],0,[]
MalinL,"Tullinge, Sweden",Joined in Mar 2010,15,11,5,0,[],0,[]
Agent_WL1,"Muttenz, Switzerland",Joined in Mar 2012,43,42,20,1,[],0,[]
R7623SRcarolinam,"Montevideo, Uruguay",Joined in May 2018,17,9,0,0,[],0,[]
EntropyDaisy,"Auckland, New Zealand",Joined in Jul 2016,14,7,3,0,[],0,[]
nicolashM4502QG,"Paris, France",Joined in Aug 2017,11,7,2,0,[],0,[]
BittenA,"Copenhagen, Denmark",Joined in Jun 2013,8,7,4,0,[],0,[]
HTJ312,Ohio,Joined in Feb 2016,124,36,43,0,[],0,[]
303daniellew,"Southgate, Michigan",Joined in Sep 2012,20,16,16,0,[],1,['NacoleP1']
Trokmar,"Copenhagen, Denmark",Joined in Oct 2019,4,4,4,0,[],0,[]
Molen61,"Schiedam, The Netherlands",Joined in Jul 2009,346,346,64,0,[],0,[]
karolinee307,,Joined in Oct 2017,3,3,0,0,[],0,[]
Saeades,"Montreuil, France",Joined in Jun 2009,2,1,0,0,[],0,[]
henriks552,"Berlin, Germany",Joined in Dec 2007,4,4,0,0,[],0,[]
KasperR4,"Gran Canaria, Spain",Joined in Sep 2007,4,2,0,0,[],0,[]
stefania1018,"Copenhagen, Denmark",Joined in Apr 2014,52,46,9,0,[],0,[]
elmahelmah,Belgium,Joined in Apr 2016,6,6,0,0,[],0,[]
Patrick-TheFork,,Joined in Mar 2018,2,2,0,0,[],0,[]
L2933YSmartinc,"Copenhagen, Denmark",Joined in Jul 2015,3,2,2,1,['MadsK227'],0,[]
leanorth,"Copenhagen, Denmark",Joined in Sep 2016,9,8,1,1,[],0,[]
233nadjae,"Protaras, Cyprus",Joined in Jan 2008,22,20,9,1,['Loumse'],0,[]
906seang,United Kingdom,Joined in Aug 2012,45,45,31,0,[],0,[]
torredemadrid,,Joined in Feb 2016,7,7,3,0,[],0,[]
Q9276LNmartinv,"Svendborg, Denmark",Joined in Nov 2015,4,4,1,0,[],0,[]
drekkaskilled,"Lier Municipality, Norway",Joined in Dec 2016,8,8,3,0,[],0,[]
507mathilded,"Frederiksberg, Denmark",Joined in Jun 2019,1,1,0,0,[],0,[]
bobbis795,"Copenhagen, Denmark",Joined in Jul 2008,5,2,11,0,[],0,[]
adibteper,,Joined in Feb 2015,3,3,1,0,[],0,[]
mickylou2015,"Newcastle and Gateshead, United Kingdom",Joined in Mar 2012,213,213,85,0,[],0,[]
johnmS373GA,,Joined in Feb 2020,2,1,0,0,[],0,[]
AsiGanaMadrid,"Washington DC, District of Columbia",Joined in Mar 2015,267,222,136,1,['maryhelen_unterwegs'],6,[]
w0rkuj,"O Carballo, Spain",Joined in Sep 2020,1,1,0,0,[],0,[]
Vitus80,"Garching bei Munchen, Germany",Joined in Jan 2009,45,31,19,0,[],0,[]
georgiamaereviews,"London, United Kingdom",Joined in Apr 2015,9,7,12,0,[],0,[]
Xav2,"Lyon, France",Joined in Oct 2012,517,176,94,0,[],0,[]
avoostr,"Tromso, Norway",Joined in Aug 2015,2,1,0,0,[],0,[]
AnneN2344,,Joined in Sep 2016,1,1,0,0,[],0,[]
Champu72,"London, United Kingdom",Joined in Aug 2013,36,26,6,0,[],0,[]
Natbassili,"Edgewater, Maryland",Joined in Jul 2014,33,33,15,0,[],0,[]
admybf,Vancouver,Joined in Jul 2007,220,190,150,0,[],0,[]
SlawomirZelazny,"Skellefteå, Sweden",Joined in May 2017,5,5,0,0,[],0,[]
Bence_Sz,"Budapest, Hungary",Joined in Apr 2012,8,7,3,0,[],0,[]
thoelke2,"Hamburg, Germany",Joined in Feb 2011,38,38,63,0,[],0,[]
ChecheC,,Joined in Aug 2012,5,4,3,0,[],0,[]
fabiomU9562QZ,"Kefalonia, Greece",Joined in Jun 2017,275,61,76,0,[],0,[]
PalmsHY,"Los Angeles, California",Joined in Nov 2013,73,70,30,0,[],0,[]
TheflyingVittoro,"Singapore, Singapore",Joined in Dec 2010,88,45,28,0,[],0,[]
Suki_wong,"Lucerne, Switzerland",Joined in Feb 2011,7,6,3,0,[],0,[]
madaleenaa,"Lisbon, Portugal",Joined in Mar 2015,64,15,2,0,[],1,['Pombares']
286alexm,"Munich, Germany",Joined in Apr 2013,7,7,5,0,[],0,[]
sergiopires94,,Joined in Oct 2019,1,1,1,0,[],0,[]
famsteenh,"Slangerup, Denmark",Joined in Jan 2014,61,30,6,0,[],0,[]
Cfmcph,"London, United Kingdom",Joined in Mar 2014,1,1,0,0,[],0,[]
jghalifax,,Joined in Nov 2014,10,8,8,0,[],0,[]
CarstenBJ456,"Ebeltoft, Denmark",Joined in May 2013,125,120,78,0,[],0,[]
greenprincess222,"Pembrokeshire, United Kingdom",Joined in Sep 2017,297,249,45,3,[],0,[]
via-justa,,Joined in Feb 2019,1,1,0,0,[],0,[]
AmandaEspinoza,"Lund, Sweden",Joined in May 2014,2,2,0,0,[],0,[]
