username,location,joined,nrContributions,nrReviews,nrUpvotes,nrFollowers,followers,nrFollowing,following
ameliorate_world,"London, United Kingdom",Joined in Dec 2016,90,42,14,0,[],2,"['pioneers', 'Youngglobalpioneers']"
robertschaffner,"Boulder, Colorado",Joined in Nov 2008,27,27,26,0,[],0,[]
581jeremys,"Playa De Los Cancajos, Spain",Joined in Sep 2014,19,19,18,1,['shoreditchpoet'],4,"['charlotterQ6481WV', 'dCream', '98danr', 'Teacher1411']"
stevenu826,"Roseville, California",Joined in Jan 2007,54,45,10,0,[],0,[]
jamesriddiford,"Ashford, United Kingdom",Joined in Mar 2014,40,33,21,0,[],0,[]
320jensb,"Copenhagen, Denmark",Joined in Jan 2014,1,1,0,0,[],0,[]
tcuts11,"Florence, Italy",Joined in Aug 2010,10,7,2,0,[],0,[]
thenonflyingscotsman,"Glasgow, United Kingdom",Joined in Jul 2016,559,200,117,5,"['Scottish-Hidden-Gems', 'willkenn', 'Carolmariehogan', 'pulaj2019', 'Patriickabreu']",3,"['Carolmariehogan', 'ransomk2019', 'Patriickabreu']"
FoliesCheres,CA,Joined in Jan 2007,31,30,37,0,[],0,[]
SynneUH,"Bergen, Norway",Joined in Aug 2009,10,10,11,0,[],0,[]
mandmac63,"Winchester, United Kingdom",Joined in Mar 2014,16,16,18,0,[],0,[]
SandyAsh18,,Joined in Jan 2019,8,8,2,0,[],0,[]
Stereotipa,"Las Vegas, Nevada",Joined in Jun 2017,6,5,1,0,[],0,[]
22Sanne,"Copenhagen, Denmark",Joined in May 2008,50,49,9,0,[],0,[]
madsf263,"Copenhagen, Denmark",Joined in Dec 2015,7,4,1,0,[],0,[]
thegrahams2001,edinburgh,Joined in Jan 2010,126,111,109,2,"['221calvind', '424abdullahn']",0,[]
333Helge,"Manila, Philippines",Joined in May 2008,660,269,143,3,[],0,[]
Lilia1810,"Chisinau, Moldova",Joined in Nov 2012,8,8,0,0,[],0,[]
wilhelmm-norway,"Fornebu, Norway",Joined in Feb 2007,179,169,142,7,"['hillbornorganiccoffe', 'toursbymario', 'Aderlin90', 'gkorto', 'P1734WHstefanor', 'HarryJahangir', '714von']",0,[]
michaelblunt,"Copenhagen, Denmark",Joined in Dec 2018,3,3,1,0,[],0,[]
ianthy,"London, United Kingdom",Joined in Nov 2007,449,427,295,0,[],0,[]
L1281IXmarkm,"Fareham, United Kingdom",Joined in Mar 2017,3,3,0,0,[],0,[]
JessieFR89,"Cambridge, United Kingdom",Joined in Jun 2012,10,7,2,0,[],0,[]
WillyLizard,"Malmö, Sweden",Joined in Dec 2014,302,299,69,0,[],0,[]
