username,location,joined,nrContributions,nrReviews,nrUpvotes,nrFollowers,followers,nrFollowing,following
powermanmk,"Clearwater, Florida",Joined in Aug 2014,3,3,0,0,[],0,[]
Lars_92705,"Santa Ana, California",Joined in Oct 2008,298,289,116,0,[],1,['Tripadvisor']
KewoT,,Joined in May 2014,20,16,12,0,[],0,[]
BrendanTheron,"Dublin, Ireland",Joined in Dec 2012,13,13,4,0,[],0,[]
sanyamihova,"Copenhagen, Denmark",Joined in Nov 2016,1,1,0,0,[],0,[]
northofsydney,"Sydney, Australia",Joined in Nov 2015,381,379,226,0,[],0,[]
337diarmuidm,,Joined in Jun 2016,46,46,19,0,[],0,[]
scott9512017,"North Aurora, Illinois",Joined in Sep 2017,77,32,16,0,[],0,[]
GBarney2015,"Reading, United Kingdom",Joined in Apr 2015,84,73,35,0,[],0,[]
305cfc,"London, United Kingdom",Joined in May 2008,142,142,115,0,[],0,[]
christos968,"Athens, Greece",Joined in Jan 2009,37,36,15,3,"['athanasiosv69', 'fotis4p', '488giannag']",0,[]
andrewrK5458JK,"Maidstone, United Kingdom",Joined in Jun 2018,176,60,56,0,[],0,[]
Eaa2128,"Chicago, Illinois",Joined in Apr 2014,159,112,33,2,[],0,[]
garryblower,"Torquay, England",Joined in Dec 2009,245,223,163,1,[],0,[]
426eddiem,"Hammel, Denmark",Joined in Mar 2012,528,503,110,0,[],0,[]
CatherineV1660,,Joined in Apr 2017,24,20,7,0,[],0,[]
MarteOeveraasen,"Elverum, Norway",Joined in Jul 2012,161,54,55,2,"['Armudj', 'pernilled2014']",2,[]
luigidi,"Dublin, Ireland",Joined in Aug 2009,795,337,201,5,[],1,['elianac702']
ManuCH1176,"Bern, Switzerland",Joined in Nov 2007,51,14,9,0,[],0,[]
KarinKvist,,Joined in Oct 2016,55,45,8,0,[],0,[]
alejandroaT4706BN,,Joined in Apr 2018,4,3,6,0,[],0,[]
jpr78,"Gothenburg, Sweden",Joined in May 2007,101,95,41,0,[],0,[]
jengellok,"Copenhagen, Denmark",Joined in Jun 2018,2,1,0,0,[],0,[]
tlccva,"Jenks, Oklahoma",Joined in Dec 2006,164,143,89,1,[],1,['jengmountainlover']
sabrrota,"Milan, Italy",Joined in Jul 2009,957,487,248,8,[],10,"['CNTravellerItalia', 'FedericaDN', 'SilviasTrips', 'matteobJ5841VV', 'Botticelli1961', 'Vanygo', 'IvanoSilvi', 'babalopotnia', 'aventunorock', 'caffegioberti']"
KK2970,"Hoersholm, Denmark",Joined in Mar 2017,17,17,4,0,[],0,[]
jbabed,,Joined in Apr 2017,77,65,10,0,[],0,[]
johnpW9622AL,"Aberdeen, United Kingdom",Joined in Apr 2016,6,6,0,0,[],0,[]
Keffmeister,,Joined in Jul 2016,168,153,22,0,[],0,[]
Roving_Bill,"London, United Kingdom",Joined in Jan 2015,434,384,118,0,[],0,[]
luketduffy,"Hafnarfjordur, Iceland",Joined in Jun 2014,435,351,136,1,[],0,[]
XYl1,,Joined in May 2017,79,62,84,0,[],0,[]
marlina63,,Joined in Jan 2018,4,3,1,0,[],0,[]
56kristjanaj,"Reykjavik, Iceland",Joined in Jun 2016,13,13,1,1,[],0,[]
Wandering_Aengus,"Belfast, United Kingdom",Joined in Jul 2007,481,363,118,0,[],0,[]
staceymbe,,Joined in Jul 2017,23,23,6,0,[],0,[]
sandracul,"Highworth, United Kingdom",Joined in Jan 2004,148,148,79,0,[],0,[]
Jessgrace17,,Joined in Dec 2017,9,9,2,0,[],0,[]
JaquelineLF,"Brighton, United Kingdom",Joined in Jul 2007,79,62,39,1,['petej867'],0,[]
Yioula543,"Glyfada, Greece",Joined in May 2016,40,33,26,0,[],0,[]
linam839,"Hoor, Sweden",Joined in Apr 2016,276,125,20,5,"['toursand', 'leo-experience', 'malessandro488', 'linafri', 'fredbe19']",0,[]
832martynl,,Joined in Dec 2016,4,4,1,0,[],0,[]
Laughing_boy1959,"Droitwich, United Kingdom",Joined in May 2014,145,133,53,0,[],0,[]
debrie123,"Windsor and Maidenhead, United Kingdom",Joined in Jan 2016,139,88,58,3,"['liliamcgill', 'Scf9802', 'kylaagobbett']",0,[]
Budmanri,"Lincoln, Rhode Island",Joined in Feb 2010,826,657,176,0,[],0,[]
staceyg762,"Geneva, Switzerland",Joined in Sep 2017,37,12,14,0,[],0,[]
elle090,london,Joined in Jul 2009,129,129,55,0,[],0,[]
Bence23,"Budapest, Hungary",Joined in Oct 2009,108,81,15,1,[],2,[]
ClearwaterJen,Clearwater/Tampa Bay Florida,Joined in Aug 2009,391,388,154,0,[],0,[]
conaka,"McKinney, Texas",Joined in Aug 2017,55,43,3,0,[],0,[]
linen1990,,Joined in Mar 2017,3,2,0,0,[],0,[]
richardsS9811PI,"Granite City, Illinois",Joined in Sep 2013,29,23,6,0,[],0,[]
Mosh1996,"Falkirk District, United Kingdom",Joined in Jan 2007,20,20,26,0,[],0,[]
aquarius55,Kent,Joined in Jul 2008,53,53,33,0,[],0,[]
AnisahM,"Kuwait City, Kuwait",Joined in Jan 2012,920,186,140,2,"['N8313XGahmeda', 'Shabz4U']",0,[]
Yve75,"Manchester, United Kingdom",Joined in Jan 2014,34,34,19,0,[],0,[]
Suzie13,Halifax,Joined in May 2010,58,47,23,0,[],0,[]
Chelen-B-S,"Manchester, United Kingdom",Joined in Aug 2012,122,74,24,0,[],0,[]
Scotty2908,"Dalgety Bay, United Kingdom",Joined in May 2011,123,114,70,0,[],0,[]
annettestretton,"Skelmersdale, United Kingdom",Joined in Sep 2015,102,58,13,1,['MonkeyWigan'],1,[]
MICKDUTCH,"Carrigaline, Ireland",Joined in Jan 2010,250,216,90,0,[],1,['TimeOut']
Fmanon74,"Annecy, France",Joined in Mar 2017,27,24,3,0,[],0,[]
Stuart153Seaforde,"Edinburgh, United Kingdom",Joined in Sep 2006,315,106,38,0,[],0,[]
RichardS6841,"Aberdeen, North Carolina",Joined in Feb 2013,78,40,10,0,[],0,[]
davla91,"Kent, United Kingdom",Joined in Mar 2017,1,1,0,0,[],0,[]
nickkdr,"Lund, Sweden",Joined in Jun 2016,9,5,1,0,[],0,[]
Alboyd65,"Madrid, Spain",Joined in Aug 2016,32,27,9,0,[],0,[]
ChristineW53,"Swansea, United Kingdom",Joined in Jul 2012,222,48,46,6,"['huwkin', 'barry1984UK', 'rpspellissy', 'kiwixpanda', 'AdrianB498', 'Food_Cocktails_Swans']",13,"['huwkin', 'barry1984UK', '930rhiannem', 'rpspellissy', 'MattyW9', 'kiwixpanda', 'AdrianB498', '999cerir', 'HelenR6666', 'Food_Cocktails_Swans', 'RebeccaM-R89', 'JoanD53', 'dettie76']"
franciscomC1735NQ,"Region of Murcia, Spain",Joined in Jun 2014,3,2,1,0,[],0,[]
Bonetti27,"Ashford, United Kingdom",Joined in Jul 2014,11,10,2,1,[],0,[]
shughesshoes,,Joined in Feb 2013,29,19,5,0,[],0,[]
chelskiBucks,"Aylesbury, United Kingdom",Joined in Jan 2007,87,71,44,0,[],0,[]
davidU2774RU,"Utrecht, The Netherlands",Joined in Aug 2016,10,9,1,0,[],0,[]
lex81,"Ontario, Canada",Joined in Feb 2010,151,105,79,0,[],0,[]
Lucy_T1983,"Halifax, United Kingdom",Joined in Sep 2007,40,39,17,1,['zantonsus'],0,[]
Cupcake1973,"Berkshire, England",Joined in Mar 2009,52,37,38,1,[],0,[]
RuBear2013,"York, United Kingdom",Joined in Nov 2011,73,70,32,0,[],0,[]
FroggerDonkey,"Drogheda, Ireland",Joined in Dec 2007,368,245,127,2,"['leo-experience', 'Ethereum-Tours']",0,[]
